Path object_type object_name object_size parant_directory
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\de File c477182735c9f8e28d9434a45a647993bee478 376 de
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\ea File d81b4c6328672225f6ceda913eadb64214dc84 119 ea
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\eb File 8291243c955dac7088caa0e05f10e45936f805 144 eb
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\f1 File 8e6573c2a987eaa1e18ec1e738d1787ace4246 701 f1
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\f7 File e8ca9fe8e3c53f3368245352c66c426632f65c 1143 f7
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\f9 File 1bac84114d854df1f3ed2dcffc661253569ba6 170 f9
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\ff File 60dfac049e5892937d0c8539f2c1c8e6adf855 367 ff
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\pack File pack-10de782cfd673e1bfd95c05ce758303ebfe03c87.pack 2140 pack
N:\GEEKBRAINS\Python\hw\HW_Python\.git\refs Directory tags 0 refs
N:\GEEKBRAINS\Python\hw\HW_Python\.git\refs\heads File main 41 heads
N:\GEEKBRAINS\Python\hw\HW_Python\.git\refs\remotes Directory origin 399 remotes
N:\GEEKBRAINS\Python\hw\HW_Python\.git\refs\remotes\origin File main 41 origin
N:\GEEKBRAINS\Python\hw\HW_Python\hw_1 File task_2.py 1528 hw_1
N:\GEEKBRAINS\Python\hw\HW_Python\hw_6 Directory Module_Chess 4250 hw_6
N:\GEEKBRAINS\Python\hw\HW_Python\hw_6\Module_Chess Directory __pycache__ 2125 Module_Chess
N:\GEEKBRAINS\Python\hw\HW_Python\hw_6\Module_Chess\__pycache__ File __init__.cpython-310.pyc 209 __pycache__
N:\GEEKBRAINS\Python\hw\HW_Python\hw_8 File task_3.py 4374 hw_8
